SNo,Type,Name,Description,VLANID,Static,Gateway,Subnet,PrimaryDNS,SecondaryDNS,DNSSuffix,StartIP,EndIP
1,PUBLIC_LAN,Workload,Workload,33,false,,,,,,,
2,HYPERVISOR_MIGRATION,VMotion,VMotion,36,true,172.31.36.254,255.255.255.0,172.24.0.1,172.24.0.2,,172.31.36.50,172.31.36.63
3,HYPERVISOR_MANAGEMENT,Hypervisor Management,Hypervisor Management,37,true,172.31.37.254,255.255.255.0,172.24.0.1,172.24.0.2,ess,172.31.37.50,172.31.37.63
4,PXE,PXE,PXE,43,false,,,,,,,
5,HYPERVISOR_CLUSTER_PRIVATE,Cluster Private,Cluster Private,38,true,172.31.38.254,255.255.255.0,172.24.0.1,172.24.0.2,,172.31.38.50,172.31.38.63
6,STORAGE_ISCSI_SAN,ISCSI,ISCSI,39,true,172.31.39.254,255.255.255.0,172.24.0.1,172.24.0.2,,172.31.39.50,172.31.39.63
7,STORAGE_FCOE_SAN,FCoE1,FCoE1,255,false,,,,,,,
8,STORAGE_FCOE_SAN,FCoE2,FCoE2,256,false,,,,,,,
9,FIP_SNOOPING,FIP,FIP,1,false,,,,,,,
