SNo,Type,Name,Description,VLANID,Static,Gateway,Subnet,PrimaryDNS,SecondaryDNS,DNSSuffix,StartIP,EndIP
1,PUBLIC_LAN,Workload,Workload,33,true,172.31.33.254,255.255.255.0,172.31.62.1,172.31.62.2,,172.31.33.70,172.31.33.84
2,HYPERVISOR_MIGRATION,VMotion,VMotion,36,true,172.31.36.254,255.255.255.0,172.31.62.1,172.31.62.2,,172.31.36.70,172.31.36.84
3,HYPERVISOR_MANAGEMENT,Hypervisor Management,Hypervisor Management,37,true,172.31.37.254,255.255.255.0,172.31.62.1,172.31.62.2,ess,172.31.37.70,172.31.37.84
4,PXE,PXE,PXE,41,false,,,,,,,
5,HYPERVISOR_CLUSTER_PRIVATE,Cluster Private,Cluster Private,38,true,172.31.38.254,255.255.255.0,172.31.62.1,172.31.62.2,,172.31.38.70,172.31.38.84
6,STORAGE_ISCSI_SAN,ISCSI,ISCSI,39,true,172.31.39.254,255.255.255.0,172.31.62.1,172.31.62.2,,172.31.39.70,172.31.39.84
7,STORAGE_FCOE_SAN,FCoE1,FCoE1,255,false,,,,,,,
8,STORAGE_FCOE_SAN,FCoE2,FCoE2,256,false,,,,,,,
9,FIP_SNOOPING,FIP,FIP,1,false,,,,,,,
