SNo,Type,Name,Description,VLANID,Static,Gateway,Subnet,PrimaryDNS,SecondaryDNS,DNSSuffix,StartIP,EndIP
1,PRIVATE_LAN,autoPublicLAN,Workload,33,true,172.31.33.254,255.255.255.0,172.31.62.1,172.31.62.2,,172.31.33.76,172.31.33.80
2,HYPERVISOR_MIGRATION,autoHypervisorMigration,VMotion,36,true,172.31.36.254,255.255.255.0,172.31.62.1,172.31.62.2,,172.31.36.76,172.31.36.80
3,HYPERVISOR_MANAGEMENT,autoHypervisorManagement,Hypervisor Management,37,true,172.31.37.254,255.255.255.0,172.31.62.1,172.31.62.2,ess.delllabs.net,172.31.37.76,172.31.37.80
4,PXE,autoPXE,PXE,53,false,,,,,,,
5,HYPERVISOR_CLUSTER_PRIVATE,autoHypervisorClusterPrivate,Cluster Private,38,true,172.31.38.254,255.255.255.0,172.31.62.1,172.31.62.2,,172.31.38.76,172.31.38.80
6,STORAGE_ISCSI_SAN,autoSANISCSI,ISCSI,39,true,172.31.39.254,255.255.255.0,172.31.62.1,172.31.62.2,,172.31.39.76,172.31.39.80
7,STORAGE_ISCSI_SAN,autoSANISCSI1,ISCSI1,40,true,172.31.40.254,255.255.255.0,172.31.62.1,172.31.62.2,,172.31.40.76,172.31.40.80
